Tanggal;Hujan
01/01/2015;18,46
02/01/2015;24,97
03/01/2015;13,82
04/01/2015;22,75
05/01/2015;22,38
06/01/2015;2,2
07/01/2015;0,74
08/01/2015;0,8
09/01/2015;0,11
10/01/2015;0,48
11/01/2015;1,24
12/01/2015;1,7
13/01/2015;12,63
14/01/2015;1,9
15/01/2015;0,43
16/01/2015;16,69
17/01/2015;10,58
18/01/2015;17,61
19/01/2015;60,3
20/01/2015;17,83
21/01/2015;0,31
22/01/2015;11,19
23/01/2015;31,62
24/01/2015;13,05
25/01/2015;8,95
26/01/2015;2,36
27/01/2015;28,85
28/01/2015;49,93
29/01/2015;23,74
30/01/2015;13,41
31/01/2015;10,99
01/02/2015;12,82
02/02/2015;23,88
03/02/2015;13,22
04/02/2015;22,8
05/02/2015;31,66
06/02/2015;16,41
07/02/2015;3,06
08/02/2015;1,83
09/02/2015;7,77
10/02/2015;0,87
11/02/2015;13,19
12/02/2015;28,85
13/02/2015;15,94
14/02/2015;8,11
15/02/2015;15,64
16/02/2015;17,11
17/02/2015;17,15
18/02/2015;7,24
19/02/2015;16,61
20/02/2015;10,72
21/02/2015;31,99
22/02/2015;7,44
23/02/2015;0,12
24/02/2015;0,64
25/02/2015;2,46
26/02/2015;3,04
27/02/2015;5,58
28/02/2015;4,63
01/03/2015;25,06
02/03/2015;5,78
03/03/2015;5,37
04/03/2015;36,99
05/03/2015;19,87
06/03/2015;30,87
07/03/2015;3,48
08/03/2015;6,92
09/03/2015;5,04
10/03/2015;9,17
11/03/2015;3,64
12/03/2015;5,75
13/03/2015;3,79
14/03/2015;2,46
15/03/2015;36,39
16/03/2015;13,86
17/03/2015;26,18
18/03/2015;22,39
19/03/2015;19,09
20/03/2015;21,2
21/03/2015;15,91
22/03/2015;6
23/03/2015;0
24/03/2015;0,88
25/03/2015;2,94
26/03/2015;5,67
27/03/2015;0,68
28/03/2015;0
29/03/2015;0
30/03/2015;0
31/03/2015;11,6
01/04/2015;6,66
02/04/2015;14,34
03/04/2015;10,79
04/04/2015;2,32
05/04/2015;3,51
06/04/2015;7,87
07/04/2015;26,22
08/04/2015;0,21
09/04/2015;0,01
10/04/2015;3,73
11/04/2015;5,37
12/04/2015;5,66
13/04/2015;4,37
14/04/2015;24,72
15/04/2015;10,8
16/04/2015;1,62
17/04/2015;10,12
18/04/2015;12,05
19/04/2015;6,9
20/04/2015;5,75
21/04/2015;1,95
22/04/2015;1,13
23/04/2015;5,42
24/04/2015;11,31
25/04/2015;4,57
26/04/2015;0,63
27/04/2015;2,47
28/04/2015;11,47
29/04/2015;2,06
30/04/2015;6,18
01/05/2015;20,67
02/05/2015;34,02
03/05/2015;5,02
04/05/2015;12,77
05/05/2015;5,58
06/05/2015;1,73
07/05/2015;0,01
08/05/2015;0
09/05/2015;0
10/05/2015;0
11/05/2015;0,19
12/05/2015;0,57
13/05/2015;2,45
14/05/2015;1,42
15/05/2015;0,07
16/05/2015;0
17/05/2015;0,6
18/05/2015;0,19
19/05/2015;0
20/05/2015;0
21/05/2015;0
22/05/2015;0
23/05/2015;4,15
24/05/2015;9,75
25/05/2015;12,5
26/05/2015;17,59
27/05/2015;3,04
28/05/2015;0,1
29/05/2015;0,05
30/05/2015;0,21
31/05/2015;0,24
01/06/2015;0,02
02/06/2015;0,27
03/06/2015;0,42
04/06/2015;0,14
05/06/2015;0,1
06/06/2015;0,65
07/06/2015;0,25
08/06/2015;0,16
09/06/2015;1,74
10/06/2015;0,18
11/06/2015;0
12/06/2015;0
13/06/2015;0
14/06/2015;2,06
15/06/2015;1,43
16/06/2015;0
17/06/2015;0
18/06/2015;0
19/06/2015;0
20/06/2015;0
21/06/2015;0
22/06/2015;0
23/06/2015;0
24/06/2015;0
25/06/2015;0
26/06/2015;0
27/06/2015;0
28/06/2015;0
29/06/2015;0,05
30/06/2015;0,02
01/07/2015;0
02/07/2015;0,03
03/07/2015;0,05
04/07/2015;0
05/07/2015;0
06/07/2015;0
07/07/2015;0
08/07/2015;0
09/07/2015;0,06
10/07/2015;0
11/07/2015;0
12/07/2015;0
13/07/2015;0
14/07/2015;0
15/07/2015;0
16/07/2015;0
17/07/2015;0
18/07/2015;0
19/07/2015;0,36
20/07/2015;0,43
21/07/2015;0
22/07/2015;0
23/07/2015;0
24/07/2015;0
25/07/2015;0,05
26/07/2015;0,07
27/07/2015;0
28/07/2015;0
29/07/2015;0
30/07/2015;0,11
31/07/2015;0,03
01/08/2015;0
02/08/2015;0
03/08/2015;0,01
04/08/2015;0,55
05/08/2015;4,36
06/08/2015;2,26
07/08/2015;0,87
08/08/2015;0,17
09/08/2015;0,04
10/08/2015;0
11/08/2015;0,01
12/08/2015;0,02
13/08/2015;0
14/08/2015;0
15/08/2015;0
16/08/2015;0
17/08/2015;0
18/08/2015;0
19/08/2015;0
20/08/2015;0
21/08/2015;0
22/08/2015;0
23/08/2015;0
24/08/2015;0
25/08/2015;0
26/08/2015;0
27/08/2015;0
28/08/2015;0
29/08/2015;0,05
30/08/2015;0,02
31/08/2015;0
01/09/2015;0
02/09/2015;0
03/09/2015;0
04/09/2015;0
05/09/2015;0
06/09/2015;0
07/09/2015;0
08/09/2015;0
09/09/2015;0
10/09/2015;0
11/09/2015;0
12/09/2015;0,02
13/09/2015;0,03
14/09/2015;0
15/09/2015;0
16/09/2015;0
17/09/2015;0
18/09/2015;0
19/09/2015;0
20/09/2015;0
21/09/2015;0
22/09/2015;0
23/09/2015;0
24/09/2015;0
25/09/2015;0
26/09/2015;0
27/09/2015;0
28/09/2015;0
29/09/2015;0
30/09/2015;0
01/10/2015;0
02/10/2015;0
03/10/2015;0
04/10/2015;0
05/10/2015;0
06/10/2015;0
07/10/2015;0
08/10/2015;0
09/10/2015;0
10/10/2015;0
11/10/2015;0
12/10/2015;0
13/10/2015;0
14/10/2015;0
15/10/2015;0
16/10/2015;0
17/10/2015;0
18/10/2015;0
19/10/2015;0
20/10/2015;0
21/10/2015;0
22/10/2015;0
23/10/2015;0
24/10/2015;0
25/10/2015;0
26/10/2015;0
27/10/2015;0
28/10/2015;0
29/10/2015;0
30/10/2015;0
31/10/2015;0
01/11/2015;0
